"Few things are harder to put up with than the annoyance of a good example."|"— Mark Twain"
"The trouble with the rat race is that even if you win, you're still a rat."|"— Lily Tomlin"
"Most rock journalism is people who can't write, interviewing people who can't talk, for people who can't read."|"— Frank Zappa"
"Anything worth doing is worth overdoing."|"— Mick Jagger"
"Few people think more than two or three times a year; I have made an international reputation for myself by thinking once or twice a week."|"— George Bernard Shaw"
"In the fight between you and the world, back the world."|"— Frank Zappa"
"Find out who you are. And do it on purpose."|"— Dolly Parton"
"I'm not offended by all the dumb blonde jokes because I know I'm not dumb... and I also know that I'm not blonde."|"— Dolly Parton"
"The only Zen you find on the tops of mountains is the Zen you bring up there."|"— Robert M. Pirsig"
"Your writing is never as good as you hoped; but never as bad as you feared."|"— Bertrand Russell"
"Change happens by listening and then starting a dialogue with the people who are doing something you don't believe is right."|"— Jane Goodall"
"Any book worth banning is a book worth reading."|"— Isaac Asimov"
"I'd like to convince you that the universe has a soundtrack and that soundtrack is played on space itself, because space can wobble like a drum."|"— Janna Levin"
"Avoiding climate breakdown will require cathedral thinking. We must lay the foundation while we may not know exactly how to build the ceiling."|"— Greta Thunberg"
"Unless we stop the degradation of our oceans, marine ecological systems will begin collapsing … And if the oceans die, then civilization collapses and we all die."|"— Paul Watson"
"I've always thought that writing isn't really that hard. It's having a good idea that's hard."|"— Lyle Lovett"
"If I wasn't Bob Dylan, I'd probably think that Bob Dylan has a lot of answers myself."|"— Bob Dylan"
"Any fool can make something complicated. It takes a genius to make it simple."|"— Woody Guthrie"
"Quotes are for dumb people who can't think of something intelligent to say on their own."|"— Bo Burnham"
"Your ideas are intriguing to me and I wish to subscribe to your newsletter."|"— Homer Simpson"
"As some Chinese philosopher said, 'Just dig a hole that's deep enough, and everybody'll want to jump into it.'"|"— The Firesign Theater"
"Without deviation from the norm, progress is not possible."|"— Frank Zappa"
"I don't remember everything about my life, but I'm very fortunate to have a group of friends I can rely on—they fill in the blanks."|"— Joe Walsh"
"He looked at me and said, “Kid, we don't like your kind. We're gonna send your fingerprints off to Washington.” And, friends, somewhere in Washington, enshrined in some little folder, is a study in black and white of my fingerprints."|"— Arlo Guthrie, “Alice's Restaurant Massacree”"
"Sometimes magic is just someone spending more time on something than anyone else might reasonably expect."|"— <a href='https://www.esquire.com/entertainment/interviews/a15810/teller-magician-interview-1012/'>Raymond Joseph Teller</a>"
"Any sufficiently advanced technology is indistinguishable from magic."|"— Arthur C. Clarke"
